"GEO","SEX","AGE","TIME","VALUE","FLAGS","FOOTNOTES"
"BE","T","Y5","2011","124632","",""
"BE","T","Y50","2011","160775","",""
"BE","T","Y51","2011","160726","",""
"BE","T","Y52","2011","156706","",""
"BE","T","Y53","2011","153211","",""
"BE","T","Y54","2011","149822","",""
"BE","T","Y55","2011","147535","",""
"BE","T","Y56","2011","144059","",""
"BE","T","Y57","2011","140092","",""
"BE","T","Y58","2011","138353","",""
"BE","T","Y59","2011","132292","",""
"BE","T","Y6","2011","122925","",""
"BE","T","Y60","2011","132261","",""
"BE","T","Y61","2011","130540","",""
"BE","T","Y62","2011","131176","",""
"BE","T","Y63","2011","128765","",""
"BE","T","Y64","2011","128162","",""
"BE","T","Y65","2011","107662","",""
"BE","T","Y66","2011","106174","",""
"BE","T","Y67","2011","99971","",""
"BE","T","Y68","2011","87401","",""
"BE","T","Y69","2011","78991","",""
"BE","T","Y7","2011","119853","",""
"BE","T","Y70","2011","87278","",""
"BE","T","Y71","2011","93507","",""
"BE","T","Y72","2011","93632","",""
"BE","T","Y73","2011","88806","",""
"BE","T","Y74","2011","85151","",""
"BE","T","Y75","2011","82712","",""
"BE","T","Y76","2011","82284","",""
"BE","T","Y77","2011","79559","",""
"BE","T","Y78","2011","79962","",""
"BE","T","Y79","2011","77077","",""
"BE","T","Y8","2011","118939","",""
"BE","T","Y80","2011","73641","",""
"BE","T","Y81","2011","65261","",""
"BE","T","Y82","2011","60245","",""
"BE","T","Y83","2011","55007","",""
"BE","T","Y84","2011","50634","",""
"BE","T","Y85","2011","46547","",""
"BE","T","Y86","2011","41135","",""
"BE","T","Y87","2011","36149","",""
"BE","T","Y88","2011","30510","",""
"BE","T","Y89","2011","26154","",""
"BE","T","Y9","2011","120976","",""
"BE","T","Y90","2011","21456","",""
"BE","T","Y91","2011","13187","",""
"BE","T","Y92","2011","7405","",""
"BE","T","Y93","2011","5758","",""
"BE","T","Y94","2011","4902","",""
"BE","T","Y95","2011","4358","",""
"BE","T","Y96","2011","3697","",""
"BE","T","Y97","2011","2534","",""
"BE","T","Y98","2011","1665","",""
"BE","T","Y99","2011","1138","",""
"BE","T","Y_GE100","2011","1630","",""
"BE","T","Y_LT1","2011","130212","",""
"CH","T","Y1","2011","81663","",""
"CH","T","Y10","2011","77650","",""
"CH","T","Y11","2011","82547","",""
"CH","T","Y12","2011","82199","",""
"CH","T","Y13","2011","83428","",""
"CH","T","Y14","2011","84867","",""
"CH","T","Y15","2011","87265","",""
"CH","T","Y16","2011","86936","",""
"CH","T","Y17","2011","88301","",""
"CH","T","Y18","2011","90378","",""
"CH","T","Y19","2011","95014","",""
"CH","T","Y2","2011","80196","",""
"CH","T","Y20","2011","96850","",""
"CH","T","Y21","2011","97786","",""
"CH","T","Y22","2011","97770","",""
"CH","T","Y23","2011","100145","",""
"CH","T","Y24","2011","99051","",""
"CH","T","Y25","2011","101829","",""
"CH","T","Y26","2011","103410","",""
"CH","T","Y27","2011","106243","",""
"CH","T","Y28","2011","106538","",""
"CH","T","Y29","2011","109784","",""
"CH","T","Y3","2011","79522","",""
"CH","T","Y30","2011","110176","",""
"CH","T","Y31","2011","111458","",""
"CH","T","Y32","2011","108965","",""
"CH","T","Y33","2011","107893","",""
"CH","T","Y34","2011","108326","",""
"CH","T","Y35","2011","107982","",""
"CH","T","Y36","2011","107898","",""
"CH","T","Y37","2011","110965","",""
"CH","T","Y38","2011","111639","",""
"CH","T","Y39","2011","115406","",""
"CH","T","Y4","2011","78288","",""
"CH","T","Y40","2011","119642","",""
"CH","T","Y41","2011","121658","",""
"CH","T","Y42","2011","125215","",""
"CH","T","Y43","2011","128544","",""
"CH","T","Y44","2011","129881","",""
"CH","T","Y45","2011","133048","",""
"CH","T","Y46","2011","133821","",""
"CH","T","Y47","2011","135997","",""
"CH","T","Y48","2011","132256","",""
"CH","T","Y49","2011","127385","",""
"CH","T","Y5","2011","77429","",""
"CH","T","Y50","2011","123289","",""
"CH","T","Y51","2011","120147","",""
"CH","T","Y52","2011","116703","",""
"CH","T","Y53","2011","112449","",""
"CH","T","Y54","2011","109769","",""
"CH","T","Y55","2011","106680","",""
"CH","T","Y56","2011","102454","",""
"CH","T","Y57","2011","99391","",""
"CH","T","Y58","2011","95934","",""
"CH","T","Y59","2011","95237","",""
"CH","T","Y6","2011","77450","",""
"CH","T","Y60","2011","91100","",""
"CH","T","Y61","2011","93158","",""
"CH","T","Y62","2011","91252","",""
"CH","T","Y63","2011","91965","",""
"CH","T","Y64","2011","89878","",""
"CH","T","Y65","2011","88767","",""
"CH","T","Y66","2011","84466","",""
"CH","T","Y67","2011","82815","",""
"CH","T","Y68","2011","79492","",""
"CH","T","Y69","2011","75469","",""
